code,description,category
78164000,Anorexia (finding),adverse_event
267036007,Dyspnea (finding),adverse_event
62315008,Cough (finding),adverse_event
233604007,Pneumonia (disorder),adverse_event
74474003,Pleural effusion (finding),adverse_event
363765003,"EGFR protein, human",gene_product
706982009,EGFR gene mutation,gene_variant
890144003,KRAS gene mutation,gene_variant
890145002,BRAF gene mutation,gene_variant
890146001,HER2 gene mutation,gene_variant
890147005,ALK gene rearrangement,gene_variant
890148000,ROS1 gene rearrangement,gene_variant
706983004,TP53 gene mutation,gene_variant
896013004,BRCA1 germline mutation,gene_variant
896014005,BRCA2 germline mutation,gene_variant
448974003,Microsatellite instability-high,gene_variant
448973009,Microsatellite stable,gene_variant
734002005,Tumor mutational burden-high,finding
73211009,Diabetes mellitus (disorder),comorbidity
38341003,Hypertensive disorder (disorder),comorbidity
13645005,Chronic obstructive lung disease (disorder),comorbidity
13644009,Chronic ischemic heart disease,comorbidity
84114007,Heart failure (disorder),comorbidity
709044004,Chronic kidney disease (disorder),comorbidity
40930008,Hypothyroidism (disorder),comorbidity
